Station_ID,Stratum,Feature_Set,Task,max_features,min_samples_leaf,OOB_Score,Selected
SW93.4L,DURING,forecast_safe,regression,0.33,5,0.9975698922002995,False
SW93.4L,DURING,forecast_safe,classification,sqrt,1,0.9823053589484327,False
SW93.4L,DURING,forecast_safe,classification,sqrt,5,0.9787664307381193,False
SW93.4L,DURING,forecast_safe,classification,0.33,1,0.9838220424671386,True
SW93.4L,DURING,forecast_safe,classification,0.33,5,0.9817997977755308,False
SW93.4L,AFTER,stage_only,regression,sqrt,1,0.9971601493859228,False
SW93.4L,AFTER,stage_only,regression,sqrt,5,0.9957997869202663,False
SW93.4L,AFTER,stage_only,regression,0.33,1,0.9976583453074213,True
SW93.4L,AFTER,stage_only,regression,0.33,5,0.99699261984049,False
SW93.4L,AFTER,stage_only,classification,sqrt,1,0.9912451361867705,True
SW93.4L,AFTER,stage_only,classification,sqrt,5,0.9902723735408561,False
SW93.4L,AFTER,stage_only,classification,0.33,1,0.9912451361867705,False
SW93.4L,AFTER,stage_only,classification,0.33,5,0.9883268482490273,False
SW93.4L,AFTER,hydromet,regression,sqrt,1,0.9967341981085515,False
SW93.4L,AFTER,hydromet,regression,sqrt,5,0.9954089685156172,False
SW93.4L,AFTER,hydromet,regression,0.33,1,0.9974992986488928,True
SW93.4L,AFTER,hydromet,regression,0.33,5,0.9970905757684685,False
SW93.4L,AFTER,hydromet,classification,sqrt,1,0.9931906614785992,True
SW93.4L,AFTER,hydromet,classification,sqrt,5,0.9883268482490273,False
SW93.4L,AFTER,hydromet,classification,0.33,1,0.9931906614785992,False
SW93.4L,AFTER,hydromet,classification,0.33,5,0.9883268482490273,False
SW93.4L,AFTER,full_multivariate,regression,sqrt,1,0.9967652259233926,False
SW93.4L,AFTER,full_multivariate,regression,sqrt,5,0.9952785388436048,False
SW93.4L,AFTER,full_multivariate,regression,0.33,1,0.9975759931294846,True
SW93.4L,AFTER,full_multivariate,regression,0.33,5,0.9970154650588366,False
SW93.4L,AFTER,full_multivariate,classification,sqrt,1,0.9912451361867705,False
SW93.4L,AFTER,full_multivariate,classification,sqrt,5,0.9873540856031129,False
SW93.4L,AFTER,full_multivariate,classification,0.33,1,0.9922178988326849,True
SW93.4L,AFTER,full_multivariate,classification,0.33,5,0.9902723735408561,False
SW93.4L,AFTER,forecast_safe,regression,sqrt,1,0.996024663626228,False
SW93.4L,AFTER,forecast_safe,regression,sqrt,5,0.9943102509466175,False
SW93.4L,AFTER,forecast_safe,regression,0.33,1,0.9968767902160146,True
SW93.4L,AFTER,forecast_safe,regression,0.33,5,0.9962227088124739,False
SW93.4L,AFTER,forecast_safe,classification,sqrt,1,0.9912451361867705,False
SW93.4L,AFTER,forecast_safe,classification,sqrt,5,0.9854085603112841,False
SW93.4L,AFTER,forecast_safe,classification,0.33,1,0.9922178988326849,True
SW93.4L,AFTER,forecast_safe,classification,0.33,5,0.9902723735408561,False
SW93.4L,ALL,stage_only,regression,sqrt,1,0.9978611081554108,False
SW93.4L,ALL,stage_only,regression,sqrt,5,0.9970822540169443,False
SW93.4L,ALL,stage_only,regression,0.33,1,0.9984755802571192,True
SW93.4L,ALL,stage_only,regression,0.33,5,0.9982118701018156,False
SW93.4L,ALL,stage_only,classification,sqrt,1,0.9885892116182573,False
SW93.4L,ALL,stage_only,classification,sqrt,5,0.9888485477178424,False
SW93.4L,ALL,stage_only,classification,0.33,1,0.9885892116182573,False
SW93.4L,ALL,stage_only,classification,0.33,5,0.9891078838174274,True
SW93.4L,ALL,hydromet,regression,sqrt,1,0.9974267449510178,False
SW93.4L,ALL,hydromet,regression,sqrt,5,0.9966900717343394,False
