Station_ID,Id,Stratum,Feature_Set,N_Features,N_Train,N_Classes,N_Test,Accuracy,Macro_F1,Weighted_F1,Cohen_Kappa,Accuracy_Persistence,Kappa_Persistence,Kappa_Skill_Score,Precision_Normal,Recall_Normal,F1_Normal,Support_Normal,Precision_Warning,Recall_Warning,F1_Warning,Support_Warning,Precision_Danger,Recall_Danger,F1_Danger,Support_Danger,Precision_Severe,Recall_Severe,F1_Severe,Support_Severe,OOB_Accuracy,HP_max_features,HP_min_samples_leaf
SW91.9L,11,ALL,stage_only,87,3856,4,964,0.9740663900414938,0.7034784229906181,0.9742430279319257,0.9296843088055086,0.975103734439834,0.9319621462978538,-0.03347897337145678,0.9891304347826086,0.9837837837837838,0.986449864498645,740,0.9362745098039216,0.9408866995073891,0.9385749385749386,203,0.8333333333333334,0.9523809523809523,0.8888888888888888,21.0,0.0,0.0,0.0,0.0,0.9857365145228216,0.33,1
SW91.9L,11,ALL,hydromet,189,3856,4,964,0.9647302904564315,0.6853095264853525,0.9647361440260247,0.9033102150268009,0.975103734439834,0.9319621462978538,-0.4211175060942452,0.9798115746971736,0.9837837837837838,0.9817936614969656,740,0.9289340101522843,0.9014778325123153,0.915,203,0.7916666666666666,0.9047619047619048,0.8444444444444444,21.0,0.0,0.0,0.0,0.0,0.9844398340248963,0.33,1
SW91.9L,11,ALL,full_multivariate,193,3856,4,964,0.9636929460580913,0.6959921816481281,0.9633768393039699,0.8994594530165144,0.975103734439834,0.9319621462978538,-0.4777148530232677,0.9733333333333334,0.9864864864864865,0.9798657718120806,740,0.9468085106382979,0.8768472906403941,0.9104859335038363,203,0.8076923076923077,1.0,0.8936170212765957,21.0,0.0,0.0,0.0,0.0,0.9862551867219918,0.33,1
SW91.9L,11,ALL,forecast_safe,165,3856,4,964,0.9761410788381742,0.7101211132597599,0.9763772828006115,0.9357785675596608,0.975103734439834,0.9319621462978538,0.05609261689109761,0.9931600547195623,0.981081081081081,0.9870836165873556,740,0.9285714285714286,0.9605911330049262,0.9443099273607748,203,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0,0.0,0.0,0.0,0.0,0.9745850622406639,0.33,5
SW93.4L,12,BEFORE,stage_only,95,850,3,212,0.9811320754716981,0.6407814407814408,0.9813947059230079,0.9223585423915034,0.9811320754716981,0.9201055210099868,0.028199963376671425,0.994475138121547,0.9836065573770492,0.989010989010989,183,0.9032258064516129,0.9655172413793104,0.9333333333333333,29,0.0,0.0,0.0,0.0,,,,,0.991764705882353,sqrt,1
SW93.4L,12,BEFORE,hydromet,205,850,3,212,0.9716981132075472,0.6288837402720846,0.9724547132821983,0.8867319679430098,0.9811320754716981,0.9201055210099868,-0.4177203918076574,0.994413407821229,0.9726775956284153,0.9834254143646409,183,0.8484848484848485,0.9655172413793104,0.9032258064516129,29,0.0,0.0,0.0,0.0,,,,,0.991764705882353,0.33,1
SW93.4L,12,BEFORE,full_multivariate,209,850,3,212,0.9764150943396226,0.6347528940673501,0.9768975927483365,0.9042975803539184,0.9811320754716981,0.9201055210099868,-0.1978602383531955,0.9944444444444445,0.9781420765027322,0.9862258953168044,183,0.875,0.9655172413793104,0.9180327868852459,29,0.0,0.0,0.0,0.0,,,,,0.991764705882353,sqrt,1
SW93.4L,12,BEFORE,forecast_safe,179,850,3,212,0.9622641509433962,0.6175925925925926,0.9637185534591195,0.8530074536314786,0.9811320754716981,0.9201055210099868,-0.8398335933437332,0.9943502824858758,0.9617486338797814,0.9777777777777777,183,0.8,0.9655172413793104,0.875,29,0.0,0.0,0.0,0.0,,,,,0.9905882352941177,0.33,1
SW93.4L,12,DURING,stage_only,95,1978,4,495,0.9818181818181818,0.4665716322166785,0.9872167145438706,0.8710004343419719,0.9939393939393939,0.9556332347405216,-1.907572028377008,0.9978118161925602,0.9956331877729258,0.9967213114754099,458,0.9375,0.8108108108108109,0.8695652173913043,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848331648129424,sqrt,1
SW93.4L,12,DURING,hydromet,205,1978,4,495,0.9818181818181818,0.4668442583959661,0.9882257067872138,0.8726888234789816,0.9939393939393939,0.9556332347405216,-1.8695167604949543,1.0,0.9956331877729258,0.9978118161925602,458,0.9375,0.8108108108108109,0.8695652173913043,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9838220424671386,0.33,5
SW93.4L,12,DURING,full_multivariate,209,1978,4,495,0.9818181818181818,0.4665716322166785,0.9872167145438706,0.8710004343419719,0.9939393939393939,0.9556332347405216,-1.907572028377008,0.9978118161925602,0.9956331877729258,0.9967213114754099,458,0.9375,0.8108108108108109,0.8695652173913043,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9838220424671386,sqrt,1
SW93.4L,12,DURING,forecast_safe,179,1978,4,495,0.9878787878787879,0.4782982045277127,0.9925818686474424,0.9139080526407328,0.9939393939393939,0.9556332347405216,-0.9404603165400884,1.0,0.9978165938864629,0.9989071038251366,458,0.9696969696969697,0.8648648648648649,0.9142857142857143,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817997977755308,0.33,1
SW93.4L,12,AFTER,stage_only,95,1028,2,257,0.9066147859922179,0.47551020408163264,0.8622091638211704,0.0,0.9766536964980544,0.8621244635193133,-6.252918287937741,0.9066147859922179,1.0,0.9510204081632653,233,0.0,0.0,0.0,24,,,,,,,,,0.9931906614785992,sqrt,1
SW93.4L,12,AFTER,hydromet,205,1028,2,257,0.9066147859922179,0.47551020408163264,0.8622091638211704,0.0,0.9766536964980544,0.8621244635193133,-6.252918287937741,0.9066147859922179,1.0,0.9510204081632653,233,0.0,0.0,0.0,24,,,,,,,,,0.9912451361867705,sqrt,1
SW93.4L,12,AFTER,full_multivariate,209,1028,2,257,0.9066147859922179,0.47551020408163264,0.8622091638211704,0.0,0.9766536964980544,0.8621244635193133,-6.252918287937741,0.9066147859922179,1.0,0.9510204081632653,233,0.0,0.0,0.0,24,,,,,,,,,0.9912451361867705,0.33,1
SW93.4L,12,AFTER,forecast_safe,179,1028,2,257,0.9066147859922179,0.47551020408163264,0.8622091638211704,0.0,0.9766536964980544,0.8621244635193133,-6.252918287937741,0.9066147859922179,1.0,0.9510204081632653,233,0.0,0.0,0.0,24,,,,,,,,,0.9912451361867705,0.33,1
SW93.4L,12,ALL,stage_only,95,3856,4,964,0.9896265560165975,0.4754782254782255,0.9900783095803843,0.9019627783992678,0.9875518672199171,0.8709936433589829,0.24005898505034085,1.0,0.9890710382513661,0.9945054945054945,915,0.8305084745762712,1.0,0.9074074074074074,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865145228215768,0.33,5
SW93.4L,12,ALL,hydromet,205,3856,4,964,0.9719917012448133,0.4086909848660254,0.9683312679170026,0.6358905489340272,0.9875518672199171,0.8709936433589829,-1.822414806110457,0.9743589743589743,0.9967213114754099,0.9854132901134521,915,0.8928571428571429,0.5102040816326531,0.6493506493506493,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987292531120332,0.33,1
SW93.4L,12,ALL,full_multivariate,209,3856,4,964,0.9719917012448133,0.4086909848660254,0.9683312679170026,0.6358905489340272,0.9875518672199171,0.8709936433589829,-1.822414806110457,0.9743589743589743,0.9967213114754099,0.9854132901134521,915,0.8928571428571429,0.5102040816326531,0.6493506493506493,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875518672199171,0.33,1
SW93.4L,12,ALL,forecast_safe,179,3856,4,964,0.9885892116182573,0.4732588225206914,0.9891304832350358,0.8931005282471067,0.9875518672199171,0.8709936433589829,0.1713627565627649,1.0,0.9879781420765027,0.9939527212754261,915,0.8166666666666667,1.0,0.8990825688073395,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852178423236515,0.33,5
SW93.5L,13,BEFORE,stage_only,103,838,2,210,1.0,1.0,1.0,1.0,0.9904761904761905,0.9470899470899471,1.0,1.0,1.0,1.0,189,1.0,1.0,1.0,21,,,,,,,,,0.9809069212410502,0.33,5
SW93.5L,13,BEFORE,hydromet,221,838,2,210,0.9904761904761905,0.9723684210526315,0.9902631578947368,0.9447513812154696,0.9904761904761905,0.9470899470899471,-0.0441988950276238,0.9895287958115183,1.0,0.9947368421052631,189,1.0,0.9047619047619048,0.95,21,,,,,,,,,0.9809069212410502,sqrt,1
SW93.5L,13,BEFORE,full_multivariate,225,838,2,210,0.9904761904761905,0.9723684210526315,0.9902631578947368,0.9447513812154696,0.9904761904761905,0.9470899470899471,-0.0441988950276238,0.9895287958115183,1.0,0.9947368421052631,189,1.0,0.9047619047619048,0.95,21,,,,,,,,,0.9809069212410502,0.33,1
SW93.5L,13,BEFORE,forecast_safe,193,838,2,210,0.9714285714285714,0.9088541666666667,0.9692708333333333,0.8181818181818181,0.9904761904761905,0.9470899470899471,-2.436363636363638,0.9692307692307692,1.0,0.984375,189,1.0,0.7142857142857143,0.8333333333333334,21,,,,,,,,,0.9797136038186157,0.33,1
SW93.5L,13,DURING,stage_only,103,1978,3,495,1.0,0.6666666666666666,1.0,1.0,0.9939393939393939,0.9544827586206897,1.0,1.0,1.0,1.0,459,1.0,1.0,1.0,36,0.0,0.0,0.0,0.0,,,,,0.9898887765419616,0.33,5
SW93.5L,13,DURING,hydromet,221,1978,3,495,0.997979797979798,0.6616091178919729,0.9979666703355955,0.9848275862068966,0.9939393939393939,0.9544827586206897,0.6666666666666675,0.9978260869565218,1.0,0.998911860718172,459,1.0,0.9722222222222222,0.9859154929577465,36,0.0,0.0,0.0,0.0,,,,,0.993933265925177,0.33,1
