Section_ID,Date,Distance_m,Reduced_Level_m
RMG12,2012-01-28,7710.0,13.96
RMG12,2012-01-28,7744.0,14.1
RMG12,2012-01-28,7744.0,14.26
RMG12,2013-02-04,0.0,14.04
RMG12,2013-02-04,0.0,13.92
RMG12,2013-02-04,10.0,14.65
RMG12,2013-02-04,18.0,17.5
RMG12,2013-02-04,22.0,17.5
RMG12,2013-02-04,31.0,14.4
RMG12,2013-02-04,41.0,13.43
RMG12,2013-02-04,41.0,13.24
RMG12,2013-02-04,50.0,13.42
RMG12,2013-02-04,100.0,13.45
RMG12,2013-02-04,150.0,13.58
RMG12,2013-02-04,200.0,13.56
RMG12,2013-02-04,250.0,13.58
RMG12,2013-02-04,300.0,13.5
RMG12,2013-02-04,350.0,13.56
RMG12,2013-02-04,400.0,13.68
RMG12,2013-02-04,450.0,13.72
RMG12,2013-02-04,500.0,13.96
RMG12,2013-02-04,550.0,13.94
RMG12,2013-02-04,600.0,13.64
RMG12,2013-02-04,650.0,13.1
RMG12,2013-02-04,700.0,12.86
RMG12,2013-02-04,750.0,12.72
RMG12,2013-02-04,800.0,12.68
RMG12,2013-02-04,842.0,12.64
RMG12,2013-02-04,850.0,11.82
RMG12,2013-02-04,900.0,10.26
RMG12,2013-02-04,950.0,9.02
RMG12,2013-02-04,1000.0,7.86
RMG12,2013-02-04,1028.0,6.64
RMG12,2013-02-04,1034.0,6.04
RMG12,2013-02-04,1040.0,5.94
RMG12,2013-02-04,1046.0,5.84
RMG12,2013-02-04,1052.0,5.74
RMG12,2013-02-04,1058.0,5.84
RMG12,2013-02-04,1064.0,5.94
RMG12,2013-02-04,1070.0,6.09
RMG12,2013-02-04,1076.0,6.64
RMG12,2013-02-04,1100.0,7.62
RMG12,2013-02-04,1150.0,9.28
RMG12,2013-02-04,1200.0,10.2
RMG12,2013-02-04,1250.0,10.87
RMG12,2013-02-04,1300.0,11.62
RMG12,2013-02-04,1350.0,12.2
RMG12,2013-02-04,1400.0,12.58
RMG12,2013-02-04,1450.0,12.96
RMG12,2013-02-04,1500.0,13.32
RMG12,2013-02-04,1550.0,13.52
RMG12,2013-02-04,1600.0,13.54
RMG12,2013-02-04,1650.0,13.5
RMG12,2013-02-04,1700.0,13.48
RMG12,2013-02-04,1750.0,13.42
RMG12,2013-02-04,1800.0,13.36
RMG12,2013-02-04,1850.0,13.2
RMG12,2013-02-04,1900.0,13.14
RMG12,2013-02-04,1950.0,13.15
RMG12,2013-02-04,2000.0,13.06
RMG12,2013-02-04,2050.0,12.84
RMG12,2013-02-04,2100.0,12.72
RMG12,2013-02-04,2150.0,12.76
RMG12,2013-02-04,2200.0,12.7
RMG12,2013-02-04,2250.0,12.64
RMG12,2013-02-04,2300.0,12.58
RMG12,2013-02-04,2350.0,12.54
RMG12,2013-02-04,2400.0,12.56
RMG12,2013-02-04,2450.0,12.58
RMG12,2013-02-04,2500.0,12.54
RMG12,2013-02-04,2550.0,12.5
RMG12,2013-02-04,2600.0,12.48
RMG12,2013-02-04,2650.0,12.52
RMG12,2013-02-04,2700.0,12.52
RMG12,2013-02-04,2750.0,12.54
RMG12,2013-02-04,2800.0,12.5
RMG12,2013-02-04,2850.0,12.48
RMG12,2013-02-04,2900.0,12.42
RMG12,2013-02-04,2950.0,12.4
RMG12,2013-02-04,3000.0,12.28
RMG12,2013-02-04,3050.0,12.08
RMG12,2013-02-04,3100.0,10.84
RMG12,2013-02-04,3150.0,9.64
RMG12,2013-02-04,3200.0,8.68
RMG12,2013-02-04,3250.0,7.64
RMG12,2013-02-04,3260.0,5.87
RMG12,2013-02-04,3270.0,5.07
RMG12,2013-02-04,3280.0,4.87
RMG12,2013-02-04,3290.0,4.62
RMG12,2013-02-04,3300.0,4.37
RMG12,2013-02-04,3310.0,4.07
RMG12,2013-02-04,3320.0,3.87
RMG12,2013-02-04,3330.0,3.67
RMG12,2013-02-04,3340.0,3.87
RMG12,2013-02-04,3350.0,4.12
RMG12,2013-02-04,3360.0,4.37
RMG12,2013-02-04,3370.0,4.67
RMG12,2013-02-04,3380.0,4.87
RMG12,2013-02-04,3390.0,5.02
RMG12,2013-02-04,3400.0,5.17
RMG12,2013-02-04,3410.0,5.37
RMG12,2013-02-04,3420.0,5.87
RMG12,2013-02-04,3450.0,6.12
RMG12,2013-02-04,3500.0,6.68
RMG12,2013-02-04,3550.0,6.92
RMG12,2013-02-04,3600.0,6.84
RMG12,2013-02-04,3650.0,6.78
RMG12,2013-02-04,3700.0,6.72
RMG12,2013-02-04,3750.0,6.69
RMG12,2013-02-04,3800.0,6.54
RMG12,2013-02-04,3830.0,6.3
RMG12,2013-02-04,3854.0,5.22
RMG12,2013-02-04,3879.0,4.12
RMG12,2013-02-04,3904.0,3.22
RMG12,2013-02-04,3929.0,3.12
RMG12,2013-02-04,3954.0,2.02
RMG12,2013-02-04,3979.0,0.82
RMG12,2013-02-04,4004.0,0.42
RMG12,2013-02-04,4029.0,-1.58
RMG12,2013-02-04,4054.0,-1.98
RMG12,2013-02-04,4079.0,-2.68
RMG12,2013-02-04,4104.0,-2.98
RMG12,2013-02-04,4129.0,-5.38
RMG12,2013-02-04,4154.0,-8.58
RMG12,2013-02-04,4179.0,-9.58
RMG12,2013-02-04,4204.0,-9.98
RMG12,2013-02-04,4229.0,-10.78
RMG12,2013-02-04,4254.0,-11.58
RMG12,2013-02-04,4279.0,-6.98
RMG12,2013-02-04,4304.0,-2.78
RMG12,2013-02-04,4329.0,-2.18
RMG12,2013-02-04,4354.0,0.12
RMG12,2013-02-04,4379.0,0.22
RMG12,2013-02-04,4404.0,0.42
RMG12,2013-02-04,4429.0,1.22
RMG12,2013-02-04,4454.0,1.42
RMG12,2013-02-04,4479.0,3.02
RMG12,2013-02-04,4504.0,3.82
RMG12,2013-02-04,4529.0,5.22
RMG12,2013-02-04,4550.0,5.44
RMG12,2013-02-04,4600.0,6.32
RMG12,2013-02-04,4650.0,6.94
RMG12,2013-02-04,4700.0,7.22
RMG12,2013-02-04,4750.0,7.43
RMG12,2013-02-04,4800.0,7.53
RMG12,2013-02-04,4850.0,7.56
RMG12,2013-02-04,4900.0,7.7
RMG12,2013-02-04,4950.0,7.96
RMG12,2013-02-04,5000.0,8.34
RMG12,2013-02-04,5050.0,8.56
RMG12,2013-02-04,5100.0,8.76
RMG12,2013-02-04,5150.0,9.06
RMG12,2013-02-04,5200.0,9.42
RMG12,2013-02-04,5250.0,9.36
RMG12,2013-02-04,5300.0,9.34
RMG12,2013-02-04,5350.0,9.24
RMG12,2013-02-04,5400.0,9.12
RMG12,2013-02-04,5450.0,8.98
RMG12,2013-02-04,5500.0,8.76
RMG12,2013-02-04,5550.0,8.64
RMG12,2013-02-04,5600.0,8.52
RMG12,2013-02-04,5650.0,8.38
RMG12,2013-02-04,5700.0,8.05
RMG12,2013-02-04,5750.0,7.84
RMG12,2013-02-04,5800.0,7.62
RMG12,2013-02-04,5850.0,7.48
RMG12,2013-02-04,5900.0,7.42
RMG12,2013-02-04,5950.0,7.36
RMG12,2013-02-04,6000.0,7.12
RMG12,2013-02-04,6050.0,6.94
RMG12,2013-02-04,6100.0,6.82
RMG12,2013-02-04,6120.0,6.04
RMG12,2013-02-04,6128.0,5.34
RMG12,2013-02-04,6136.0,4.94
RMG12,2013-02-04,6144.0,4.69
RMG12,2013-02-04,6152.0,4.59
RMG12,2013-02-04,6160.0,4.44
RMG12,2013-02-04,6168.0,4.64
RMG12,2013-02-04,6176.0,4.84
RMG12,2013-02-04,6184.0,5.04
RMG12,2013-02-04,6192.0,5.39
RMG12,2013-02-04,6200.0,6.04
RMG12,2013-02-04,6225.0,7.08
RMG12,2013-02-04,6250.0,7.84
RMG12,2013-02-04,6300.0,8.76
RMG12,2013-02-04,6350.0,9.24
RMG12,2013-02-04,6370.0,10.56
RMG12,2013-02-04,6385.0,11.98
RMG12,2013-02-04,6395.0,13.2
RMG12,2013-02-04,6420.0,13.22
RMG12,2013-02-04,6450.0,13.26
RMG12,2013-02-04,6500.0,13.24
RMG12,2013-02-04,6550.0,13.2
RMG12,2013-02-04,6600.0,13.22
RMG12,2013-02-04,6650.0,13.18
RMG12,2013-02-04,6700.0,13.0
RMG12,2013-02-04,6750.0,12.98
RMG12,2013-02-04,6800.0,12.96
RMG12,2013-02-04,6850.0,12.94
RMG12,2013-02-04,6900.0,12.92
RMG12,2013-02-04,6950.0,12.88
RMG12,2013-02-04,7000.0,12.06
RMG12,2013-02-04,7050.0,11.94
RMG12,2013-02-04,7100.0,11.76
RMG12,2013-02-04,7150.0,11.76
RMG12,2013-02-04,7200.0,11.84
