target,h,model,macroF1,kappa,POD_W,FAR_W,CSI_W,n_event_W,POD_D,FAR_D,CSI_D,n_event_D
15,1,Gradient boosting,0.6873774830122724,0.9458757697778286,0.970722781335773,0.022119815668202765,0.9498657117278424,1093,0.797979797979798,0.1595744680851064,0.6929824561403509,99
15,2,Persistence,0.6612724941898881,0.909732981704302,0.9515096065873742,0.0484903934126258,0.9075043630017452,1093,0.7676767676767676,0.23232323232323232,0.6229508196721312,99
15,2,Logistic regression,0.597686602850078,0.8624410792134458,0.9432753888380604,0.06357856494096276,0.8865004299226139,1093,0.6464646464646465,0.5223880597014925,0.378698224852071,99
15,2,Random forest,0.6232455980956944,0.8698570404721546,0.9011893870082343,0.04922779922779923,0.861013986013986,1093,0.5252525252525253,0.14754098360655737,0.48148148148148145,99
15,2,Gradient boosting,0.6319222342640997,0.9015842533274105,0.9542543458371455,0.04661791590493602,0.9117132867132867,1093,0.6161616161616161,0.3068181818181818,0.48412698412698413,99
15,3,Persistence,0.6266978579277345,0.877329436675077,0.9350411710887465,0.06495882891125343,0.8780068728522337,1093,0.6666666666666666,0.3333333333333333,0.5,99
15,3,Logistic regression,0.5911674937693039,0.8525018206608019,0.9414455626715462,0.0721370604147881,0.8772378516624041,1093,0.6767676767676768,0.541095890410959,0.37640449438202245,99
15,3,Random forest,0.6170819233506463,0.8553972793395366,0.8938700823421775,0.06417624521072797,0.8422413793103448,1093,0.5353535353535354,0.14516129032258066,0.49074074074074076,99
15,3,Gradient boosting,0.6141635277010097,0.8770072755082506,0.9277218664226898,0.055865921787709494,0.8794449262792715,1093,0.5151515151515151,0.2714285714285714,0.4322033898305085,99
15,5,Persistence,0.576267765544769,0.8252523107352512,0.9066788655077768,0.09332113449222323,0.8292887029288702,1093,0.5252525252525253,0.47474747474747475,0.3561643835616438,99
15,5,Logistic regression,0.5692544877142305,0.825128603040492,0.9469350411710887,0.0968586387434555,0.8596345514950167,1093,0.6868686868686869,0.6284153005464481,0.3177570093457944,99
15,5,Random forest,0.588771798712234,0.827064664245051,0.8755718206770357,0.07803468208092486,0.8151618398637138,1093,0.4444444444444444,0.2413793103448276,0.3893805309734513,99
15,5,Gradient boosting,0.5774368620055824,0.8408164261346166,0.9075937785910339,0.07635009310986965,0.8442553191489361,1093,0.3939393939393939,0.3709677419354839,0.319672131147541,99
15,7,Persistence,0.5365173416387997,0.7835906099833906,0.8847209515096066,0.11527904849039342,0.793273174733388,1093,0.40404040404040403,0.5959595959595959,0.25316455696202533,99
15,7,Logistic regression,0.545797511307281,0.7956919404286438,0.9515096065873742,0.12678421494542402,0.8360128617363344,1093,0.6666666666666666,0.6796116504854369,0.27615062761506276,99
15,7,Random forest,0.5692585128056168,0.8107292463051167,0.8783165599268069,0.09774436090225563,0.8020050125313283,1093,0.3939393939393939,0.3157894736842105,0.3333333333333333,99
15,7,Gradient boosting,0.5791975945017181,0.8156060606060607,0.8828911253430924,0.09644194756554307,0.8068561872909699,1093,0.42424242424242425,0.3225806451612903,0.35294117647058826,99
