target,era,goalundo_margin,p
13,During,0.75,0.999713483462498
13,During,0.8000000000000003,0.9998387904791922
13,During,0.8500000000000001,0.999909299877564
13,During,0.9000000000000004,0.9999489716337073
13,During,0.9500000000000002,0.9999712916707286
13,During,1.0,0.9999838489808154
13,During,1.0499999999999998,0.9999909136479029
13,During,1.1000000000000005,0.9999948881529797
13,During,1.1500000000000004,0.9999971241556291
13,During,1.2000000000000002,0.999998382096975
13,During,1.25,0.9999990897947106
13,During,1.2999999999999998,0.9999994879338259
13,During,1.3500000000000005,0.9999997119202402
13,During,1.4000000000000004,0.9999998379312206
13,During,1.4500000000000002,0.9999999088228627
13,During,1.5,0.9999999487052957
13,During,1.5499999999999998,0.9999999711424736
13,During,1.6000000000000005,0.9999999837652476
13,During,1.6500000000000004,0.9999999908666052
13,During,1.7000000000000002,0.9999999948617078
13,During,1.75,0.9999999971092846
13,During,1.8000000000000007,0.9999999983737327
13,During,1.8500000000000005,0.9999999990850899
13,During,1.9000000000000004,0.9999999994852871
13,During,1.9500000000000002,0.9999999997104314
13,During,2.0,0.9999999998370936
13,After,-3.0,1.4739029268352137e-17
13,After,-2.95,2.7379479572773227e-17
13,After,-2.9,5.086060201301967e-17
13,After,-2.85,9.447954736506948e-17
13,After,-2.8,1.7550686615984928e-16
13,After,-2.75,3.260246363186903e-16
13,After,-2.7,6.056290891202221e-16
13,After,-2.65,1.1250272302429845e-15
13,After,-2.6,2.0898703373492255e-15
13,After,-2.55,3.882179834872899e-15
13,After,-2.5,7.211605428789363e-15
13,After,-2.45,1.3396404873718872e-14
13,After,-2.4,2.4885396922045078e-14
13,After,-2.35,4.6227550287214185e-14
13,After,-2.3,8.587310912705677e-14
13,After,-2.25,1.595193953677155e-13
13,After,-2.2,2.963260298498078e-13
13,After,-2.15,5.504604362631036e-13
13,After,-2.1,1.022544971983988e-12
13,After,-2.05,1.8994974949108867e-12
13,After,-2.0,3.5285398999805614e-12
13,After,-1.95,6.55467767611957e-12
13,After,-1.9,1.2176084345240246e-11
13,After,-1.8499999999999999,2.2618508080394107e-11
13,After,-1.7999999999999998,4.2016537769653347e-11
13,After,-1.75,7.805065833009517e-11
13,After,-1.7,1.4498827340250062e-10
13,After,-1.65,2.69332762500556e-10
13,After,-1.5999999999999999,5.003172687426034e-10
13,After,-1.5499999999999998,9.29398143131416e-10
13,After,-1.5,1.7264663086867189e-09
13,After,-1.45,3.2071141254382115e-09
13,After,-1.4,5.957591497020502e-09
13,After,-1.3499999999999999,1.1066926518182066e-08
13,After,-1.2999999999999998,2.0558116830168354e-08
13,After,-1.25,3.8189118132149485e-08
13,After,-1.2,7.094077408486197e-08
13,After,-1.15,1.3178081957764014e-07
13,After,-1.0999999999999999,2.4479833673165983e-07
13,After,-1.0499999999999998,4.5474159327780205e-07
13,After,-1.0,8.447356390774343e-07
13,After,-0.9499999999999997,1.5691946191170536e-06
13,After,-0.8999999999999999,2.914959555233288e-06
13,After,-0.8500000000000001,5.414866517091024e-06
13,After,-0.7999999999999998,1.0058704410792563e-05
13,After,-0.75,1.8685064748030672e-05
13,After,-0.6999999999999997,3.470914816700959e-05
13,After,-0.6499999999999999,6.447440387509554e-05
13,After,-0.5999999999999996,0.0001197621625753477
13,After,-0.5499999999999998,0.0002224494483015356
13,After,-0.5,0.0004131471823786393
13,After,-0.44999999999999973,0.0007671976252631318
13,After,-0.3999999999999999,0.0014242226953444428
13,After,-0.34999999999999964,0.0026424335171755537
13,After,-0.2999999999999998,0.004897532125735913
13,After,-0.25,0.009059689080384474
13,After,-0.19999999999999973,0.016699685162918965
13,After,-0.1499999999999999,0.0305836116402598
13,After,-0.09999999999999964,0.05536059851940936
13,After,-0.04999999999999982,0.09817752559713257
13,After,0.0,0.16821297028444798
13,After,0.050000000000000266,0.2730801677050386
13,After,0.10000000000000009,0.41101863072236905
13,After,0.15000000000000036,0.56452290938223
13,After,0.20000000000000018,0.7065804478955703
13,After,0.25,0.8172951595639858
13,After,0.30000000000000027,0.8925851169212625
13,After,0.3500000000000001,0.9391588299487768
13,After,0.40000000000000036,0.9663011785117277
13,After,0.4500000000000002,0.9815724225760819
13,After,0.5,0.9899948746322559
13,After,0.5500000000000003,0.9945890074491357
13,After,0.6000000000000001,0.9970798382494619
13,After,0.6500000000000004,0.998425884853498
13,After,0.7000000000000002,0.9991519998669961
13,After,0.75,0.9995433224389552
13,After,0.8000000000000003,0.9997541076936494
13,After,0.8500000000000001,0.9998676152566232
13,After,0.9000000000000004,0.9999287297676375
13,After,0.9500000000000002,0.9999616322653984
13,After,1.0,0.999979345364146
13,After,1.0499999999999998,0.9999888810090578
13,After,1.1000000000000005,0.999994014350281
13,After,1.1500000000000004,0.9999967777725665
