target,window_days,start,monsoon,PI,full_PI
12,90,2025-01-08,False,0.8682404374364652,0.8500220875276648
12,90,2025-01-11,False,0.8676587376536992,0.8500220875276648
12,90,2025-01-14,False,0.8789073389698793,0.8500220875276648
12,90,2025-01-17,False,0.8756814312564951,0.8500220875276648
12,90,2025-01-20,False,0.8892840144559717,0.8500220875276648
12,90,2025-01-23,False,0.8860725158377946,0.8500220875276648
12,90,2025-01-26,False,0.8912958605476313,0.8500220875276648
12,90,2025-01-29,False,0.8940753250681546,0.8500220875276648
12,90,2025-02-01,False,0.8862409455224803,0.8500220875276648
12,90,2025-02-04,False,0.8888376406919187,0.8500220875276648
12,90,2025-02-07,False,0.8898046587239988,0.8500220875276648
12,90,2025-02-10,False,0.885617171971693,0.8500220875276648
12,90,2025-02-13,False,0.8846460983393774,0.8500220875276648
12,90,2025-02-16,False,0.8812785214693076,0.8500220875276648
12,90,2025-02-19,False,0.8835822250578566,0.8500220875276648
12,90,2025-02-22,False,0.8908400776184164,0.8500220875276648
12,90,2025-02-25,False,0.8927411025373716,0.8500220875276648
12,90,2025-02-28,False,0.8918253732306753,0.8500220875276648
12,90,2025-03-03,False,0.8708737710679196,0.8500220875276648
12,90,2025-03-06,False,0.8597827799860869,0.8500220875276648
12,90,2025-03-09,False,0.8654817489953294,0.8500220875276648
12,90,2025-03-12,False,0.862191504479611,0.8500220875276648
12,90,2025-03-15,False,0.8653115201851701,0.8500220875276648
12,90,2025-03-18,False,0.863980372678121,0.8500220875276648
12,90,2025-03-21,False,0.8640673819748033,0.8500220875276648
12,90,2025-03-24,False,0.8615796568666201,0.8500220875276648
12,90,2025-03-27,False,0.8646560405315526,0.8500220875276648
12,90,2025-03-30,False,0.8601420655907143,0.8500220875276648
12,90,2025-04-02,False,0.8606047572823666,0.8500220875276648
12,90,2025-04-05,False,0.8552184483345068,0.8500220875276648
12,90,2025-04-08,False,0.853846994566715,0.8500220875276648
12,90,2025-04-11,False,0.8545092319375204,0.8500220875276648
12,90,2025-04-14,False,0.8507436724462523,0.8500220875276648
12,90,2025-04-17,True,0.8524007758650647,0.8500220875276648
12,90,2025-04-20,True,0.848708199403156,0.8500220875276648
12,90,2025-04-23,True,0.8507075705969352,0.8500220875276648
12,90,2025-04-26,True,0.8480389964334007,0.8500220875276648
12,90,2025-04-29,True,0.8458579893328588,0.8500220875276648
12,90,2025-05-02,True,0.8518151661802248,0.8500220875276648
12,90,2025-05-05,True,0.8518034560346639,0.8500220875276648
12,90,2025-05-08,True,0.8483868396128326,0.8500220875276648
12,90,2025-05-11,True,0.8554844947360941,0.8500220875276648
12,90,2025-05-14,True,0.8575825481477917,0.8500220875276648
12,90,2025-05-17,True,0.8616962246113626,0.8500220875276648
12,90,2025-05-20,True,0.8600758910156081,0.8500220875276648
12,90,2025-05-23,True,0.8493844749707771,0.8500220875276648
12,90,2025-05-26,True,0.8435008836301734,0.8500220875276648
12,90,2025-05-29,True,0.8415402864074486,0.8500220875276648
12,90,2025-06-01,True,0.8578830316508153,0.8500220875276648
12,90,2025-06-04,True,0.8702820283869319,0.8500220875276648
12,90,2025-06-07,True,0.8556078219416337,0.8500220875276648
12,90,2025-06-10,True,0.859369496913484,0.8500220875276648
12,90,2025-06-13,True,0.8485818396060103,0.8500220875276648
12,90,2025-06-16,True,0.8575025591474452,0.8500220875276648
12,90,2025-06-19,True,0.8507724138722548,0.8500220875276648
12,90,2025-06-22,True,0.8541169910763462,0.8500220875276648
12,90,2025-06-25,True,0.8510209184807835,0.8500220875276648
12,90,2025-06-28,True,0.8127584993822834,0.8500220875276648
12,90,2025-07-01,True,0.819385606320391,0.8500220875276648
12,90,2025-07-04,True,0.8376257975744514,0.8500220875276648
12,90,2025-07-07,True,0.8379141358248618,0.8500220875276648
12,90,2025-07-10,True,0.8357188299954548,0.8500220875276648
12,90,2025-07-13,True,0.8194334202336084,0.8500220875276648
12,90,2025-07-16,True,0.8247602652870023,0.8500220875276648
12,90,2025-07-19,True,0.8358292819587725,0.8500220875276648
12,90,2025-07-22,True,0.8315972556389081,0.8500220875276648
12,90,2025-07-25,True,0.8146681189559819,0.8500220875276648
12,90,2025-07-28,True,0.813151503551208,0.8500220875276648
12,90,2025-07-31,True,0.8215303769962311,0.8500220875276648
12,90,2025-08-03,True,0.8278917712089482,0.8500220875276648
12,90,2025-08-06,True,0.8276852639970356,0.8500220875276648
12,90,2025-08-09,True,0.8367963650278128,0.8500220875276648
12,90,2025-08-12,True,0.8302523482136189,0.8500220875276648
12,90,2025-08-15,True,0.8329575027363108,0.8500220875276648
12,90,2025-08-18,True,0.8386628211940492,0.8500220875276648
12,90,2025-08-21,True,0.8418394170798023,0.8500220875276648
12,90,2025-08-24,True,0.8446088119985022,0.8500220875276648
12,90,2025-08-27,True,0.8513799023717618,0.8500220875276648
12,90,2025-08-30,True,0.8520387864909967,0.8500220875276648
12,90,2025-09-02,True,0.8516671692771622,0.8500220875276648
12,90,2025-09-05,True,0.8500677108846304,0.8500220875276648
12,90,2025-09-08,True,0.8502038543165393,0.8500220875276648
12,90,2025-09-11,True,0.8433535933387126,0.8500220875276648
12,90,2025-09-14,True,0.8450768519106477,0.8500220875276648
12,90,2025-09-17,False,0.8439911693953851,0.8500220875276648
12,90,2025-09-20,False,0.8434243083730386,0.8500220875276648
12,90,2025-09-23,False,0.8446388629556356,0.8500220875276648
12,90,2025-09-26,False,0.8522493838631575,0.8500220875276648
12,90,2025-09-29,False,0.8486339353447638,0.8500220875276648
12,90,2025-10-02,False,0.8368494432961138,0.8500220875276648
12,180,2023-01-01,False,0.8702155299224793,0.8500220875276648
12,180,2023-01-04,False,0.8691134490815049,0.8500220875276648
12,180,2023-01-07,False,0.8643094568417676,0.8500220875276648
12,180,2023-01-10,False,0.8676828938969164,0.8500220875276648
12,180,2023-01-13,False,0.8685581649276715,0.8500220875276648
12,180,2023-01-16,False,0.8709123120789171,0.8500220875276648
12,180,2023-01-19,False,0.8730078918355346,0.8500220875276648
12,180,2023-01-22,False,0.8732981953427159,0.8500220875276648
12,180,2023-01-25,False,0.8728868921409342,0.8500220875276648
12,180,2023-01-28,False,0.8725292448313279,0.8500220875276648
12,180,2023-01-31,False,0.8709566594934125,0.8500220875276648
12,180,2023-02-03,False,0.8716281171028089,0.8500220875276648
12,180,2023-02-06,False,0.8699179506878901,0.8500220875276648
12,180,2023-02-09,False,0.8675369755761783,0.8500220875276648
12,180,2023-02-12,False,0.8671928807215704,0.8500220875276648
12,180,2023-02-15,False,0.8679069636149275,0.8500220875276648
12,180,2023-02-18,False,0.8670780947982779,0.8500220875276648
12,180,2023-02-21,False,0.8710065790991668,0.8500220875276648
12,180,2023-02-24,False,0.8715794720923299,0.8500220875276648
12,180,2023-02-27,False,0.8805393332553219,0.8500220875276648
12,180,2023-03-02,False,0.8785312036087625,0.8500220875276648
12,180,2023-03-05,True,0.8784657368806099,0.8500220875276648
12,180,2023-03-08,True,0.8795029244439501,0.8500220875276648
12,180,2023-03-11,True,0.8813598954276084,0.8500220875276648
12,180,2023-03-14,True,0.8807346474818812,0.8500220875276648
12,180,2023-03-17,True,0.8830613153643222,0.8500220875276648
12,180,2023-03-20,True,0.8833534747213868,0.8500220875276648
12,180,2023-03-23,True,0.8813006775675278,0.8500220875276648
12,180,2023-03-26,True,0.8811676281972748,0.8500220875276648
12,180,2023-03-29,True,0.8799120821433571,0.8500220875276648
12,180,2023-04-01,True,0.8827317898084103,0.8500220875276648
12,180,2023-04-04,True,0.8835598758152705,0.8500220875276648
12,180,2023-04-07,True,0.8807880866430806,0.8500220875276648
12,180,2023-04-10,True,0.8810643563506498,0.8500220875276648
12,180,2023-04-13,True,0.8820943354617041,0.8500220875276648
12,180,2023-04-16,True,0.8813470863438742,0.8500220875276648
12,180,2023-04-19,True,0.8800604007964347,0.8500220875276648
12,180,2023-04-22,True,0.881772262612357,0.8500220875276648
12,180,2023-04-25,True,0.888008850598711,0.8500220875276648
12,180,2023-04-28,True,0.8877975964151423,0.8500220875276648
12,180,2023-05-01,True,0.8872999640872038,0.8500220875276648
12,180,2023-05-04,True,0.8869160137719578,0.8500220875276648
12,180,2023-05-07,True,0.8862641068755936,0.8500220875276648
12,180,2023-05-10,True,0.8917914242470987,0.8500220875276648
12,180,2023-05-13,True,0.8923531703365211,0.8500220875276648
12,180,2023-05-16,True,0.8910844822900522,0.8500220875276648
12,180,2023-05-19,True,0.8939253908417752,0.8500220875276648
12,180,2023-05-22,True,0.8946797738570255,0.8500220875276648
12,180,2023-05-25,True,0.8953432315983578,0.8500220875276648
12,180,2023-05-28,True,0.8965336254882802,0.8500220875276648
12,180,2023-05-31,True,0.8954833304978628,0.8500220875276648
12,180,2023-06-03,True,0.8937233768169129,0.8500220875276648
12,180,2023-06-06,True,0.8943085660127633,0.8500220875276648
12,180,2023-06-09,True,0.8931709991212929,0.8500220875276648
12,180,2023-06-12,True,0.8912718606345422,0.8500220875276648
12,180,2023-06-15,True,0.89179293437451,0.8500220875276648
12,180,2023-06-18,True,0.8884896616160395,0.8500220875276648
12,180,2023-06-21,True,0.8637050852693428,0.8500220875276648
12,180,2023-06-24,True,0.8548170487493746,0.8500220875276648
12,180,2023-06-27,True,0.8550161039642931,0.8500220875276648
12,180,2023-06-30,True,0.854083652096068,0.8500220875276648
12,180,2023-07-03,True,0.8555081129155635,0.8500220875276648
12,180,2023-07-06,True,0.8653199076555786,0.8500220875276648
12,180,2023-07-09,True,0.8613413635001845,0.8500220875276648
12,180,2023-07-12,True,0.8587710350969141,0.8500220875276648
12,180,2023-07-15,True,0.8572979022078039,0.8500220875276648
12,180,2023-07-18,True,0.8521528734852846,0.8500220875276648
12,180,2023-07-21,True,0.8516288357794553,0.8500220875276648
12,180,2023-07-24,True,0.8493242749707678,0.8500220875276648
12,180,2023-07-27,True,0.8464063415388989,0.8500220875276648
12,180,2023-07-30,True,0.8477420357084641,0.8500220875276648
12,180,2023-08-02,True,0.8474448559636538,0.8500220875276648
12,180,2023-08-05,False,0.8478574928716065,0.8500220875276648
12,180,2023-08-08,False,0.8498120732188733,0.8500220875276648
12,180,2023-08-11,False,0.8491869189890249,0.8500220875276648
12,180,2023-08-14,False,0.8465761210857862,0.8500220875276648
12,180,2023-08-17,False,0.84844743327196,0.8500220875276648
12,180,2023-08-20,False,0.8469000382931383,0.8500220875276648
12,180,2023-08-23,False,0.8484292469821632,0.8500220875276648
12,180,2023-08-26,False,0.8475758451347475,0.8500220875276648
12,180,2023-08-29,False,0.8457794934715497,0.8500220875276648
12,180,2023-09-01,False,0.8434077587230641,0.8500220875276648
12,180,2023-09-04,False,0.8390824314292888,0.8500220875276648
12,180,2023-09-07,False,0.8344906283908352,0.8500220875276648
12,180,2023-09-10,False,0.8276645739510679,0.8500220875276648
12,180,2023-09-13,False,0.8273821281402879,0.8500220875276648
12,180,2023-09-16,False,0.8293229877786261,0.8500220875276648
12,180,2023-09-19,False,0.828230284931451,0.8500220875276648
12,180,2023-09-22,False,0.8401829792738305,0.8500220875276648
12,180,2023-09-25,False,0.8435732264538727,0.8500220875276648
12,180,2023-09-28,False,0.8434391790356144,0.8500220875276648
12,180,2023-10-01,False,0.8337777567751445,0.8500220875276648
