transect,year,x,z,z0,dz
RMG12,2011,3250.0,9.53,7.840833333333332,1.689166666666667
RMG12,2011,3260.0,9.36,6.872083333333333,2.487916666666666
RMG12,2011,3270.0,9.19,6.1625,3.0275
RMG12,2011,3280.0,9.02,5.83,3.1899999999999995
RMG12,2011,3290.0,8.85,5.593333333333334,3.256666666666666
RMG12,2011,3300.0,8.68,5.38,3.3
RMG12,2011,3310.0,8.308,5.103666666666666,3.2043333333333335
RMG12,2011,3320.0,7.936,4.888166666666667,3.047833333333333
RMG12,2011,3330.0,7.564,4.7585,2.8055000000000003
RMG12,2011,3340.0,7.192,4.7655,2.4265
RMG12,2011,3350.0,6.82,4.779166666666667,2.0408333333333335
RMG12,2011,3360.0,6.150769230769231,4.707692307692308,1.443076923076923
RMG12,2011,3370.0,5.481538461538461,4.703717948717949,0.7778205128205125
RMG12,2011,3380.0,5.010769230769231,4.762692307692308,0.24807692307692353
RMG12,2011,3390.0,4.837692307692308,4.934065934065934,-0.09637362637362656
RMG12,2011,3400.0,4.664615384615384,5.050320512820512,-0.38570512820512803
RMG12,2011,3410.0,4.522307692307693,5.14474358974359,-0.6224358974358974
RMG12,2011,3420.0,4.387692307692308,5.316089743589743,-0.9283974358974358
RMG12,2011,3430.0,4.218461538461539,5.349615384615385,-1.131153846153846
RMG12,2011,3440.0,3.910769230769231,5.331858974358974,-1.4210897435897434
RMG12,2011,3450.0,3.603076923076923,5.305769230769231,-1.702692307692308
RMG12,2011,3460.0,3.3646153846153846,5.295820512820512,-1.9312051282051277
RMG12,2011,3470.0,3.172307692307692,5.3107435897435895,-2.1384358974358975
RMG12,2011,3480.0,2.98,5.367333333333333,-2.387333333333333
RMG12,2011,3490.0,2.6723076923076925,5.3475769230769234,-2.675269230769231
RMG12,2011,3500.0,2.3646153846153846,5.325153846153846,-2.9605384615384613
RMG12,2011,3510.0,2.0261538461538464,5.250538461538461,-3.224384615384615
RMG12,2011,3520.0,1.6415384615384616,5.144051282051282,-3.5025128205128206
RMG12,2011,3530.0,1.2569230769230768,5.017230769230769,-3.7603076923076926
RMG12,2011,3540.0,0.8415384615384616,4.882717948717948,-4.041179487179487
RMG12,2011,3550.0,0.41846153846153844,4.754615384615384,-4.336153846153846
RMG12,2011,3560.0,0.04923076923076923,4.623807692307692,-4.574576923076923
RMG12,2011,3570.0,-0.10461538461538462,4.546846153846154,-4.651461538461539
RMG12,2011,3580.0,-0.25846153846153846,4.469884615384616,-4.728346153846154
RMG12,2011,3590.0,-0.29692307692307696,4.421769230769231,-4.718692307692308
RMG12,2011,3600.0,-0.25846153846153846,4.392884615384615,-4.651346153846153
RMG12,2011,3610.0,-0.22,4.3149999999999995,-4.534999999999999
RMG12,2011,3620.0,-0.23923076923076925,4.197692307692307,-4.436923076923076
RMG12,2011,3630.0,-0.25846153846153846,4.080384615384616,-4.338846153846154
RMG12,2011,3640.0,-0.29307692307692307,3.9800641025641026,-4.273141025641026
RMG12,2011,3650.0,-0.3507692307692308,3.894807692307692,-4.245576923076923
RMG12,2011,3660.0,-0.40846153846153843,3.813551282051282,-4.22201282051282
RMG12,2011,3670.0,-0.3892307692307692,3.768192307692308,-4.157423076923077
RMG12,2011,3680.0,-0.3507692307692308,3.744307692307692,-4.095076923076923
RMG12,2011,3690.0,-0.35846153846153844,3.7088846153846156,-4.067346153846154
RMG12,2011,3700.0,-0.5507692307692307,3.568974358974359,-4.11974358974359
RMG12,2011,3710.0,-0.743076923076923,3.350230769230769,-4.093307692307692
RMG12,2011,3720.0,-0.8430769230769231,3.1545641025641027,-3.997641025641026
RMG12,2011,3730.0,-0.8815384615384615,3.036782051282051,-3.9183205128205127
RMG12,2011,3740.0,-0.92,2.9815000000000005,-3.9015000000000004
RMG12,2011,3750.0,-0.9584615384615385,2.926217948717949,-3.884679487179487
RMG12,2011,3760.0,-0.9969230769230769,2.882935897435898,-3.879858974358975
