target,same_day,n_points,n_features,history_years,n_train,model,PI,rmse_cm
11,False,1,14,0.5,176,Ridge,0.49185824347111673,7.074347985660628
11,False,1,14,0.5,176,Gradient boosting,-0.26520461410471685,11.162831266486593
11,False,1,14,1.0,357,Ridge,0.565987695991765,6.538001222489806
11,False,1,14,1.0,357,Gradient boosting,0.09736135635629195,9.428680898940627
11,False,1,14,2.0,534,Ridge,0.5983171347822287,6.289782526953941
11,False,1,14,2.0,534,Gradient boosting,0.12117647285653455,9.303466841356757
11,False,1,14,3.0,838,Ridge,0.6214254742068965,6.106180951630971
11,False,1,14,3.0,838,Gradient boosting,0.19892784605789682,8.882389109935334
11,False,1,14,5.0,1568,Ridge,0.6475274520041248,5.891917072491093
11,False,1,14,5.0,1568,Gradient boosting,0.3746822836165291,7.847735247791679
11,False,1,14,8.0,2460,Ridge,0.6515669891192923,5.85805740939576
11,False,1,14,8.0,2460,Gradient boosting,0.3970637228988857,7.706012055685788
11,False,1,14,11.0,3313,Ridge,0.656571155834996,5.815838802823396
11,False,1,14,11.0,3313,Gradient boosting,0.3985581022518817,7.696456444229535
11,False,2,21,0.5,176,Ridge,0.516070598973634,6.90374880076075
11,False,2,21,0.5,176,Gradient boosting,-0.2913789234060087,11.277707425279266
11,False,2,21,1.0,357,Ridge,0.5669988571690125,6.530380668875828
11,False,2,21,1.0,357,Gradient boosting,-0.07618422456143392,10.295259252702001
11,False,2,21,2.0,534,Ridge,0.5999897903834972,6.276673161269242
11,False,2,21,2.0,534,Gradient boosting,0.016045526386299303,9.84422381027503
11,False,2,21,3.0,838,Ridge,0.6175378776407031,6.137453177899205
11,False,2,21,3.0,838,Gradient boosting,0.19429795197809707,8.908020553124423
11,False,2,21,5.0,1568,Ridge,0.6303443992342717,6.033823775296083
11,False,2,21,5.0,1568,Gradient boosting,0.333024989279484,8.104920475234044
11,False,2,21,8.0,2460,Ridge,0.6136001379579468,6.16896715469603
11,False,2,21,8.0,2460,Gradient boosting,0.32487382634147555,8.154295568162361
11,False,2,21,11.0,3313,Ridge,0.6129569408417581,6.174099418486782
11,False,2,21,11.0,3313,Gradient boosting,0.35038040327904896,7.998776009721231
11,False,3,28,0.5,176,Ridge,0.4783019970747343,7.1680918846097965
11,False,3,28,0.5,176,Gradient boosting,-0.4728564760954064,12.044095513138412
11,False,3,28,1.0,357,Ridge,0.5786993292264844,6.44154510114805
11,False,3,28,1.0,357,Gradient boosting,0.032466041711958216,9.761736600312089
11,False,3,28,2.0,534,Ridge,0.6102154432397032,6.195926978811494
11,False,3,28,2.0,534,Gradient boosting,0.03848200634577248,9.731340853431648
11,False,3,28,3.0,838,Ridge,0.6257424034799095,6.071266387362533
11,False,3,28,3.0,838,Gradient boosting,0.17214881041126606,9.029633332000293
11,False,3,28,5.0,1568,Ridge,0.6302545862173848,6.034556731868333
11,False,3,28,5.0,1568,Gradient boosting,0.325971092759787,8.147666382751233
11,False,3,28,8.0,2460,Ridge,0.6213797680450455,6.10654954704953
11,False,3,28,8.0,2460,Gradient boosting,0.3505709940707755,7.9976025499812975
11,False,3,28,11.0,3313,Ridge,0.6219752476618912,6.101745582057755
11,False,3,28,11.0,3313,Gradient boosting,0.35233875240869084,7.986710318159848
11,False,4,35,0.5,176,Ridge,0.4521287406476667,7.345700814474679
11,False,4,35,0.5,176,Gradient boosting,-0.4187751094701473,11.82090581337844
11,False,4,35,1.0,357,Ridge,0.536982797220631,6.7529345430228
11,False,4,35,1.0,357,Gradient boosting,-0.1861557296902323,10.808485197656442
11,False,4,35,2.0,534,Ridge,0.595507327488416,6.311742983558679
11,False,4,35,2.0,534,Gradient boosting,-0.15524218348603958,10.66671019744745
11,False,4,35,3.0,838,Ridge,0.6211298396450942,6.10856469078651
11,False,4,35,3.0,838,Gradient boosting,-0.20807765056846872,10.907906373517935
11,False,4,35,5.0,1568,Ridge,0.6300351677609537,6.036347013360317
11,False,4,35,5.0,1568,Gradient boosting,0.28745015426624765,8.377252423326391
11,False,4,35,8.0,2460,Ridge,0.6232419244568445,6.0915142085184755
11,False,4,35,8.0,2460,Gradient boosting,0.2966366366513917,8.323075767474132
11,False,4,35,11.0,3313,Ridge,0.6249258752138236,6.077885704785593
11,False,4,35,11.0,3313,Gradient boosting,0.31277466582787317,8.227039020873901
11,False,6,49,0.5,176,Ridge,0.6433560192577018,5.926679276121946
