target,model,split,seed,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,feature_set,description,n_features,ridge_alpha,lgbm_best_iteration
Bhagyakul,tgcn,val,20260915,0.06147523347587879,0.046211167195437025,0.9979950873899425,0.5957015588585359,0.07558550463925102,328,86,,,,,
Bhagyakul,tgcn,test,20260915,0.058046071404664466,0.041365966258817395,0.9984990744797356,0.6458014099210723,0.0583847400952145,1096,369,,,,,
Bhagyakul,tgcn,val,mean,0.061841323509813945,0.04671485146857076,0.9979710599672534,0.590856335436286,0.07445235825578923,328,86,,,,,
Bhagyakul,tgcn,val,sd,0.0004680686620682731,0.0004362299032843699,3.076534793652875e-05,0.00620395230670637,0.0013317201795038996,328,86,,,,,
Bhagyakul,tgcn,test,mean,0.05768960754946742,0.041337084440259464,0.9985167445188461,0.6499713056654614,0.058539014732344415,1096,369,,,,,
Bhagyakul,tgcn,test,sd,0.0015438940558194078,0.0010085967575696176,7.900560120286746e-05,0.018644277931563966,0.00022046276479174514,1096,369,,,,,
Bhagyakul,tgcn,val,seed_avg_prediction,0.06148992536310836,0.046492411974109235,0.9979941289724424,0.5955082902346089,0.074172260558049,328,86,,,,,
Bhagyakul,tgcn,test,seed_avg_prediction,0.057382010642133434,0.04106114942213912,0.9985332199247924,0.6538592837685386,0.05826622085225658,1096,369,,,,,
Bhagyakul,lstm,val,20260913,0.04123869741742139,0.031692390365414456,0.9990977955771452,0.8180669621601797,0.04644535037218703,328,86,,,,,
Bhagyakul,lstm,test,20260913,0.042346383453334455,0.030312810124058148,0.999201185149475,0.811490250535382,0.03440940185606758,1096,369,,,,,
Bhagyakul,lstm,val,20260914,0.0417693273735935,0.032401361898442116,0.9990744283641345,0.8133548725924605,0.04554877640298567,328,86,,,,,
Bhagyakul,lstm,test,20260914,0.0431094076357814,0.03201222915708094,0.999172138684875,0.8046356686995787,0.035252085666195615,1096,369,,,,,
Bhagyakul,lstm,val,20260915,0.043220331014268434,0.033570975010605256,0.9990090054839734,0.8001620938491838,0.04795944740244397,328,86,,,,,
Bhagyakul,lstm,test,20260915,0.042989347173810435,0.031564469990575335,0.9991767434804952,0.805722339619816,0.036999349334548286,1096,369,,,,,
Bhagyakul,lstm,val,mean,0.0420761186017611,0.032554909091487276,0.9990604098084176,0.810527976200608,0.04665119139253889,328,86,,,,,
Bhagyakul,lstm,val,sd,0.001025820925551182,0.0009486583276689749,4.602510282064723e-05,0.009281141347713007,0.001218446371881807,328,86,,,,,
Bhagyakul,lstm,test,mean,0.042815046087642104,0.03129650309057148,0.9991833557716151,0.8072827529515924,0.03555361228560383,1096,369,,,,,
Bhagyakul,lstm,test,sd,0.0004102890776383219,0.0008808296981104183,1.561140838713264e-05,0.0036840860956850728,0.0013210396330091514,1096,369,,,,,
Bhagyakul,lstm,val,seed_avg_prediction,0.04134410308215593,0.03205331467178867,0.9990931776334702,0.8171357358215646,0.045885447656849876,328,86,,,,,
Bhagyakul,lstm,test,seed_avg_prediction,0.041934682681146924,0.030555774814576966,0.9992166421485434,0.8151378980721807,0.03482033020901104,1096,369,,,,,
Bhagyakul,pistgnn,val,20260913,0.03536807018465295,0.027464281104359337,0.999336382544207,0.8661789538628885,0.03770095293504207,328,86,,,,,
Bhagyakul,pistgnn,test,20260913,0.03420664453983064,0.025532255924746443,0.9994787639705623,0.8769951844828157,0.028005452766284664,1096,369,,,,,
Bhagyakul,pistgnn,val,20260914,0.03609348806155368,0.028294563699126436,0.9993088810804505,0.86063317652073,0.03657742598169725,328,86,,,,,
Bhagyakul,pistgnn,test,20260914,0.03660552253471401,0.02745492709043387,0.9994030929616314,0.8591378262652993,0.03009381714278058,1096,369,,,,,
Bhagyakul,pistgnn,val,20260915,0.03500136828527273,0.0277209443498639,0.9993500721933847,0.8689395249693591,0.03573863046096072,328,86,,,,,
Bhagyakul,pistgnn,test,20260915,0.03658248878867486,0.027937863273304935,0.9994038439236967,0.8593150433897658,0.03289922154731985,1096,369,,,,,
Bhagyakul,pistgnn,val,mean,0.03548764217715978,0.027826596384449887,0.9993317786060141,0.8652505517843259,0.036672336459233346,328,86,,,,,
